City,Locality,BHK,Area_sqft,Bathrooms,Total_Floors,Floor_Number,Parking_Spaces,Balcony,Property_Age,Furnishing,Property_Type,Distance_to_City_Center_km,Metro_Distance_km,Nearby_Schools,Nearby_Hospitals,Amenities_Score,Security_Score,Maintenance_Cost,Price_INR
Mumbai,Andheri,2,1278,2.0,15,14,0.0,1.0,27,Semi-Furnished,Apartment,6.8,4.8,2.0,0,10.0,10,6133,21299000
Bengaluru,Electronic City,4,2319,3.0,15,9,2.0,1.0,27,Semi-Furnished,Villa,2.7,10.8,1.0,2,4.0,2,12338,20496000
Pune,Viman Nagar,2,1173,1.0,3,2,1.0,2.0,29,Fully-Furnished,Apartment,4.1,1.2,10.0,7,5.0,3,6449,9577000
Chennai,Anna Nagar,4,2148,4.0,6,3,0.0,1.0,28,Unfurnished,Apartment,4.3,1.7,6.0,1,7.0,5,12526,15947000
Vijayawada,Patamata,2,1341,1.0,2,1,1.0,3.0,26,Semi-Furnished,Apartment,1.5,2.3,6.0,4,10.0,5,6194,6117000
Pune,Hinjewadi,4,2371,4.0,8,3,2.0,1.0,39,Semi-Furnished,Apartment,5.6,15.0,0.0,7,10.0,7,5815,17939000
Bengaluru,Yelahanka,4,1945,5.0,10,3,1.0,1.0,29,Semi-Furnished,Villa,3.5,0.9,6.0,6,5.0,2,5379,18628000
Chennai,Velachery,3,1855,3.0,12,2,1.0,1.0,20,Semi-Furnished,Apartment,9.9,5.3,1.0,5,7.0,10,8982,15562000
Kolkata,Ballygunge,1,600,1.0,15,14,3.0,0.0,3,Semi-Furnished,Apartment,3.3,2.0,9.0,4,7.0,1,2471,4854000
Ahmedabad,Chandkheda,3,1843,4.0,6,1,0.0,1.0,37,Unfurnished,Apartment,8.5,4.1,2.0,3,3.0,3,4481,9647000
Vijayawada,Moghalrajpuram,1,1085,1.0,15,14,2.0,1.0,38,Semi-Furnished,Apartment,6.7,1.4,3.0,0,1.0,4,5382,4343000
Chennai,T Nagar,3,1744,3.0,6,3,0.0,1.0,15,Fully-Furnished,Apartment,12.9,2.1,9.0,1,5.0,8,3785,13810000
Chennai,Adyar,2,1208,2.0,15,12,0.0,1.0,37,Semi-Furnished,Villa,3.7,1.9,0.0,4,6.0,1,4382,9323000
Pune,Kharadi,3,1943,3.0,3,3,0.0,1.0,9,Fully-Furnished,Apartment,3.4,0.9,3.0,2,4.0,4,5076,17833000
Kolkata,Ballygunge,2,1406,2.0,4,3,1.0,1.0,2,Unfurnished,Apartment,5.9,2.9,6.0,5,8.0,5,7745,10442000
Mumbai,Navi Mumbai,2,748,1.0,10,7,2.0,1.0,13,Unfurnished,Apartment,8.2,4.7,6.0,1,5.0,4,2917,10491000
Hyderabad,Madhapur,3,1578,3.0,15,5,0.0,1.0,9,Unfurnished,Apartment,25.0,8.3,2.0,0,6.0,3,3426,9907000
Bengaluru,HSR Layout,2,1047,2.0,2,2,1.0,2.0,29,Unfurnished,Independent House,6.0,4.5,9.0,0,1.0,10,2261,8921000
Mumbai,Navi Mumbai,4,2032,3.0,5,5,2.0,0.0,12,Semi-Furnished,Apartment,16.2,3.3,0.0,1,6.0,10,4553,32453000
Visakhapatnam,Dwaraka Nagar,3,1728,4.0,15,2,0.0,3.0,0,Unfurnished,Apartment,1.9,1.5,7.0,3,2.0,8,4207,11224000
Pune,Baner,1,1290,1.0,7,4,1.0,0.0,27,Semi-Furnished,Apartment,5.8,4.6,3.0,7,10.0,7,5552,10308000
Pune,Hinjewadi,1,910,1.0,2,1,1.0,1.0,11,Fully-Furnished,Independent House,1.5,1.8,1.0,1,1.0,1,2809,8397000
Mumbai,Bandra,4,1891,4.0,4,1,2.0,1.0,28,Unfurnished,Apartment,7.3,0.5,10.0,3,10.0,2,5206,29023000
Mumbai,Bandra,2,1512,2.0,15,2,3.0,1.0,3,Semi-Furnished,Independent House,5.0,6.2,6.0,5,5.0,8,4387,25051000
Ahmedabad,Vastrapur,2,1726,1.0,5,3,2.0,1.0,39,Fully-Furnished,Apartment,10.8,2.0,8.0,5,9.0,8,5576,10869000
Vijayawada,Benz Circle,3,1881,2.0,3,3,2.0,2.0,28,Unfurnished,Apartment,4.6,7.6,9.0,6,8.0,3,5950,9769000
Pune,Baner,3,1957,3.0,4,3,1.0,2.0,33,Fully-Furnished,Independent House,5.4,8.6,3.0,5,6.0,9,8024,17006000
Bengaluru,Indiranagar,3,2036,4.0,3,2,2.0,2.0,28,Unfurnished,Independent House,5.7,9.5,0.0,4,5.0,4,6459,17650000
Vijayawada,Gunadala,4,2132,5.0,5,1,2.0,0.0,25,Unfurnished,Apartment,4.8,0.3,2.0,6,8.0,7,5173,10891000
Vijayawada,Patamata,3,2268,3.0,12,5,3.0,1.0,20,Semi-Furnished,Apartment,3.1,3.8,6.0,2,2.0,1,7741,13430000
Chennai,Anna Nagar,1,699,2.0,2,2,1.0,2.0,34,Unfurnished,Independent House,6.0,3.6,8.0,0,2.0,5,2372,3845000
Kolkata,Dum Dum,5,2688,5.0,2,1,1.0,2.0,22,Unfurnished,Independent House,8.7,3.8,4.0,5,1.0,3,8567,14415000
Visakhapatnam,Madhurawada,4,2424,3.0,4,2,1.0,0.0,18,Semi-Furnished,Independent House,10.6,0.5,1.0,5,8.0,7,9307,14935000
Pune,Baner,2,1193,3.0,6,1,3.0,1.0,19,Semi-Furnished,Apartment,7.2,2.2,6.0,0,5.0,10,6347,9883000
Visakhapatnam,Seethammadhara,5,2010,6.0,3,1,3.0,2.0,15,Fully-Furnished,Apartment,8.3,1.4,4.0,3,8.0,2,11493,12725000
Vijayawada,Governorpet,2,1189,3.0,6,3,3.0,1.0,4,Semi-Furnished,Apartment,4.5,2.6,8.0,4,4.0,5,3114,6633000
Kolkata,Salt Lake,2,1389,3.0,4,1,1.0,2.0,17,,Apartment,8.5,0.2,3.0,6,9.0,6,5289,9945000
Delhi,Dwarka,4,2446,3.0,5,5,2.0,1.0,11,Semi-Furnished,Apartment,2.7,4.1,4.0,6,2.0,5,11438,23792000
Mumbai,Navi Mumbai,2,1563,2.0,7,6,2.0,2.0,36,Semi-Furnished,Apartment,2.8,6.5,3.0,5,2.0,7,5477,23486000
Pune,Kharadi,3,1932,3.0,2,1,1.0,2.0,1,Unfurnished,Apartment,4.5,2.7,3.0,4,10.0,1,9723,16353000
Mumbai,Bandra,2,1307,2.0,6,2,1.0,2.0,29,Semi-Furnished,Apartment,11.9,3.9,2.0,4,7.0,4,7462,20324000
Bengaluru,Electronic City,2,1384,3.0,4,2,0.0,1.0,27,Fully-Furnished,Apartment,5.6,2.6,3.0,5,9.0,2,6874,13331000
Visakhapatnam,Dwaraka Nagar,2,1336,1.0,3,1,2.0,1.0,35,Semi-Furnished,Independent House,5.3,2.3,0.0,7,9.0,2,7886,6876000
Ahmedabad,Vastrapur,3,1714,4.0,6,1,3.0,0.0,26,Semi-Furnished,Apartment,9.8,3.6,10.0,1,5.0,7,6045,12339000
Ahmedabad,Satellite,2,1171,1.0,4,1,3.0,1.0,25,Fully-Furnished,Apartment,3.7,0.4,7.0,7,1.0,5,4569,7623000
Ahmedabad,Prahlad Nagar,4,2288,5.0,10,1,2.0,3.0,1,Unfurnished,Independent House,4.4,4.0,9.0,0,4.0,7,10522,15298000
Delhi,Pitampura,3,1968,4.0,12,4,1.0,1.0,4,Fully-Furnished,Apartment,13.8,5.2,1.0,3,3.0,8,5169,20514000
Pune,Wakad,2,1729,3.0,2,2,2.0,2.0,30,Unfurnished,Apartment,5.1,0.5,6.0,4,10.0,5,7944,13619000
Ahmedabad,Chandkheda,3,1968,4.0,4,2,2.0,1.0,7,Semi-Furnished,Independent House,1.8,1.9,7.0,6,8.0,2,6227,13324000
Kolkata,Salt Lake,2,1837,2.0,4,4,2.0,1.0,32,Semi-Furnished,Apartment,15.0,4.7,1.0,7,1.0,8,6411,9154000
Chennai,Adyar,3,1858,3.0,3,1,1.0,1.0,26,Fully-Furnished,Apartment,13.1,1.1,0.0,6,9.0,4,6654,14588000
Vijayawada,Governorpet,4,2010,4.0,3,2,1.0,2.0,39,Semi-Furnished,Independent House,10.2,4.4,7.0,1,6.0,4,6947,10410000
Vijayawada,Patamata,3,1673,3.0,12,10,1.0,0.0,28,Semi-Furnished,Villa,4.3,0.8,0.0,3,9.0,9,7720,9634000
Bengaluru,HSR Layout,5,2778,4.0,4,1,2.0,0.0,39,Fully-Furnished,Apartment,8.0,0.7,1.0,7,6.0,6,6997,25865000
Delhi,Rohini,2,1535,3.0,10,5,1.0,2.0,38,Unfurnished,Independent House,7.0,2.6,8.0,0,4.0,10,6269,12627000
Vijayawada,Benz Circle,1,1200,1.0,2,1,1.0,2.0,10,Semi-Furnished,Apartment,4.2,2.1,0.0,1,9.0,3,3173,7611000
Chennai,OMR,3,1346,3.0,4,4,2.0,2.0,12,Fully-Furnished,Independent House,4.8,4.8,7.0,7,5.0,4,6052,11966000
Bengaluru,Indiranagar,4,2038,3.0,15,6,2.0,2.0,34,Unfurnished,Independent House,3.4,6.1,2.0,5,3.0,4,4734,17941000
Pune,Hinjewadi,3,2085,3.0,4,1,1.0,1.0,37,Semi-Furnished,Apartment,5.4,1.4,5.0,7,10.0,8,9222,18064000
Bengaluru,Electronic City,2,1306,2.0,15,3,2.0,2.0,10,Unfurnished,Independent House,6.8,3.7,4.0,7,9.0,10,2931,12853000
Delhi,Mayur Vihar,4,2172,4.0,4,4,0.0,2.0,18,Fully-Furnished,Apartment,3.4,10.1,8.0,5,10.0,6,9946,22702000
Visakhapatnam,Gajuwaka,3,1871,2.0,3,1,1.0,0.0,16,Fully-Furnished,Apartment,6.8,4.9,0.0,5,6.0,4,7569,11385000
Ahmedabad,Maninagar,3,1926,3.0,15,10,1.0,2.0,1,Semi-Furnished,Independent House,6.8,2.5,1.0,4,4.0,5,4982,13934000
Pune,Viman Nagar,1,975,1.0,10,1,2.0,1.0,9,Fully-Furnished,Villa,12.3,2.8,6.0,3,5.0,1,2024,9015000
Visakhapatnam,MVP Colony,2,1778,2.0,15,12,2.0,1.0,24,Semi-Furnished,Apartment,4.7,0.8,0.0,1,8.0,1,8705,10183000
Hyderabad,Gachibowli,1,1019,2.0,4,3,1.0,1.0,14,Unfurnished,Apartment,17.0,1.9,0.0,4,1.0,8,4214,7017000
Pune,Baner,2,1495,3.0,6,3,2.0,1.0,0,Semi-Furnished,Apartment,8.2,1.2,10.0,5,5.0,2,6934,13653000
Visakhapatnam,Madhurawada,5,2919,5.0,15,5,1.0,0.0,19,Unfurnished,Apartment,5.9,6.6,3.0,0,3.0,6,10010,15486000
Delhi,Vasant Kunj,1,1040,1.0,2,2,2.0,1.0,20,Fully-Furnished,Apartment,8.3,2.3,5.0,0,9.0,5,4978,10647000
